,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description,Date Created,Date Updated,GC - Most Engaging,GC - Up-and-Coming,GC - Popular,GC - People Love,Current Date,Age of Game,Visitors Per Day,Likes Per Day,Dislikes Per Day,Ratings Per Day,Favorites Per Day,Title length,Desc length
73,tank simulator,Military,90411,20,6204069,28709,2295,"Welcome to Tank Simulator! Fight in many different historical tanks throughout time, and become the mightiest tank of all time!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
At least 10% of all the games revenue goes towards charity!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Support development and give us suggestions for updates by joining Simple Games!
https://www.roblox.com/groups/7312028/Simple-Games-Incorporated#!/about
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Please leave a 👍 Thumbs Up & ⭐️ Favorite if you enjoyed the game! And follow the devs at
https://twitter.com/UndoneBuilder
https://twitter.com/NPh_rd
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙",10/4/2019,5/24/2021,0,1,1,1,2021-05-27,601,10322.910149750416,47.76871880199667,3.8186356073211316,51.587354409317804,150.4342762063228,14,626
74,  mako mermaids!  ,All Genres,555852,15,139449202,58530,10319,"Welcome to Mako Mermaids, a game based on & inspired by the Mako Mermaids and H2O Just Add Water Series!

Here you can have fun with your friends as a mermaid/merman or human, explore the ocean or other places on land, and much more! 

------------------ 🌴------------------
Original game created by Qwerbly in March 2019

[This game is currently a work in progress]

-------------- Updates ---------------

~ new moon ring ability! 💎🗿

------------------ 🔮------------------

● Disclaimer: This game is not taking part in the Mako Mermaids Community, nor any other Mermaids/Mermen Communities!

------------------ 🌊 ------------------

✽ Game Icon by KingHonkYus ✽

------------------ ⭐-------------------

©2019 - All rights reserved to Jonathan M. Shiff Productions",3/30/2019,5/16/2021,0,0,0,0,2021-05-27,789,176741.700887199,74.18250950570342,13.078580481622307,87.26108998732573,704.5019011406844,18,768
75,naval warfare,Naval,589980,60,152278606,141640,17249,"Coins reset when you leave

Group: https://www.roblox.com/groups/4987884/IllIllI#!/about",8/13/2018,5/24/2021,0,1,0,0,2021-05-27,1018,149586.05697445973,139.13555992141454,16.94400785854617,156.0795677799607,579.5481335952849,13,88
76,[4 characters] friday night funkyn' rp,All Genres,110909,45,18589405,16903,3884,"""Little info, you have FULL PERMISSION to stream, letsplay, meme, do WHATEVER you want with the game.
Use the music in videos you do, use art, ANYTHING. GO CRAZY BRO."" - FNF Team


also contains 13+ stuffs I think so be warned

fanmade game
all credits goes to the original Friday night funkyn' creators
ninja_muffin99 - Programming
PhantomArcade and evilsk8r - Artists
kawaisprite - Music

Tags : Friday Night Funk , Friday Night Funkyn' , friday night funk",10/24/2020,5/24/2021,0,1,0,0,2021-05-27,215,86462.3488372093,78.61860465116278,18.065116279069766,96.68372093023255,515.8558139534883,38,458
77,public bathroom simulator,Comedy,186023,10,21511493,30044,8555,"Welcome to Public Bathroom Simulator,
use the toilet, wash your hands, and strike up some conversation!


Fan Group: www.roblox.com/groups/5744610/Public-Bathroom-Simulator

Credits: www.roblox.com/library/5499440588


Featured in Flamingo's video titled ""ROBLOX L E G S""",5/12/2018,5/25/2021,0,1,0,0,2021-05-27,1111,19362.2799279928,27.042304230423042,7.7002700270027,34.742574257425744,167.43744374437443,25,271
78,dream island  tycoon,Town and City,71530,4,9445532,51456,2441,"👍 LIKE OUR GAME 👍 and Use NEW code: HAPPY for in-game rewards! 🎁NEW EXCLUSIVE CODE AT 57,000 LIKES👍 
 
Build your Airport and expand your island! Fly in Epic airplanes and drive around with Nice cars! ✈️🚗🌴 (Airport, Resort, Port, Restaurant, Aircraft Maintenance, Travel Agency)

💾 Tycoon is saved automatically!

Please 👍Thumb Up and ⭐Favorite if you want updates like:
🛥️ Buy boats!
🏝️ Buy NEW islands!
❓ And much more!

💸Get 2,500 in-game currency if you join our group: 
https://www.roblox.com/groups/9828157/Venzel-Studios

Use code Rebirth",3/13/2021,5/24/2021,0,0,0,0,2021-05-27,75,125940.42666666667,686.08,32.54666666666667,718.6266666666667,953.7333333333333,20,545
79,super cool parkour obby!,All Genres,7657,10,7022016,6972,1536,"Welcome to Super Cool Parkour Obby!

Escape Super Cool Parkour to the winners area!

Leave a like if you enjoyed!",2/11/2021,5/25/2021,0,1,0,0,2021-05-27,105,66876.34285714285,66.4,14.628571428571428,81.02857142857144,72.92380952380952,24,113
80,[test phase] solo blox leveling,All Genres,32808,1,1132762,12138,1145,"ABOUT: 

GAME IS STILL TEST PHASE SO PLEASE BARE WITH LACK OF CONTENTS, GLITCH, AND BUGS.

SOLO BLOX LEVELING IS BASED ON SOLO LEVELING MANWHA. THIS IS A SOLO LEVELING OPEN WORLD TYPE GAME WHERE YOU CAN HUNT WEAPONS AND ARMORS AND UPGRADE IT TO MAKE IT MORE POWERFUL.

THIS IS STILL ON TESTING PHASE FOR EVERY SYSTEM.
SYSTEM IN GAME:
-TRADING SYSTEM
-UPGRADE SYSTEM
-INVENTORY SYSTEM
-STATS SYSTEM
-PARTY SYSTEM
-ETC

IF YOU WANT TO TEST THE GAME JUST SIMPLY JOIN THE GROUP.

NOTE: STATS WILL BE RESET WHEN BETA RELEASE :) PLAY AT YOUR OWN RISK",2/24/2021,5/17/2021,0,1,0,0,2021-05-27,92,12312.630434782608,131.93478260869566,12.445652173913043,144.3804347826087,356.60869565217394,31,544
81,horror factory tycoon,Adventure,5829,8,3673949,5913,1188,"Welcome to Horror Factory Tycoon! Choose your favourite horror character and build you mega base!

Join my group Alphablox Studios:
https://www.roblox.com/groups/8885113/Alphablox-Studios

If you enjoy the game leave a positive rating!",2/24/2021,5/25/2021,0,1,0,0,2021-05-27,92,39934.22826086957,64.27173913043478,12.91304347826087,77.18478260869566,63.358695652173914,21,235
82,warrior cats: ultimate edition,RPG,284072,60,26005181,66142,3667,"🚀MAY 15 UPDATE: Picking up kits, 3 new emotes + much more!

Create your own Warrior Cat and roleplay in this official game based on ""Warriors"", The New York Times best-selling series of fantasy books.

Warrior Cats: Ultimate Edition brings the ""Warriors"" series off the written page and into the Roblox world!

🎨Create your own Warrior Cats, and your own story.
🐾Choose the path of a Warrior, a Medicine Cat, or perhaps even a Clan Leader!
🗺️Explore the Forest Territory and the Clans who inhabit it...
💬Develop friendships, alliances, and identify your foes!
🌟Construct your own story in this immersive environment, and control your own destiny.

⚠️This game is Mobile/Tablet compatible, but may not run well on older devices.

Controls:
Q/E to change speeds.
V to drop held item.
M to open/close minmap
Shift+P to toggle cinematic camera
Animation hotkeys found ingame!

Asset Attributions:
https://devforum.roblox.com/t/warriorcatsrp-asset-attributions",8/15/2019,5/25/2021,1,1,1,0,2021-05-27,651,39946.51459293395,101.60061443932412,5.632872503840246,107.23348694316437,436.3625192012289,30,955
83,brookhaven  rp,Town and City,6949030,18,6491821831,1285162,142492,"A place to hang out with like minded people and roleplay.  Own and live in amazing houses, drive cool vehicles and explore the city. Be whoever you want to be in Brookhaven RP.
 
We are a small two person Dev team working hard to make Brookhaven the best it can be.
Thanks for playing!",4/21/2020,5/8/2021,0,0,0,0,2021-05-27,401,16189081.872817956,3204.8927680798006,355.34164588528677,3560.2344139650872,17329.25187032419,14,285
84,adopt me!,RPG,20856814,48,22693811912,4347252,801960,"Raise and dress cute pets, decorate your house, and play with friends in the magical, family-friendly world of Adopt Me! on Roblox! 🐶🏘️😻

🧸Toy Shop! 🧸
🎠 New Toy Shop building!
☂️ Improved standard toys! 
🐿️ New premium pet Red Squirrel in Pet Shop! 

🐦 Follow @PlayAdoptMe on Twitter for updates: https://twitter.com/PlayAdoptMe
🎥 Subscribe to our YouTube channel: https://www.youtube.com/PlayAdoptMe

Meet the founders!
NewFissy - Tech Director (https://twitter.com/newfissy)
Bethink - Creative Director (https://twitter.com/Bethink_RBX) 

🔔🔔🔔 Make sure to hit the FOLLOW button to get notified when new updates drop! 🔔🔔🔔

Terms of Service, Privacy Policy and Creative Attributions: https://devforum.roblox.com/t/credits/71812",7/14/2017,5/22/2021,0,0,1,1,2021-05-27,1413,16060730.298655342,3076.611464968153,567.5583864118896,3644.169851380043,14760.661004953998,9,727
85,murder mystery 2,Horror,11772554,12,5094096203,3883213,320657,"Can you solve the Mystery and survive each round?

INNOCENTS: Run and hide from the Murderer. Use your detective skills to expose the Murderer.
SHERIFF: Work with the Innocents; you are the only one with a weapon who can take down the Murderer. 
MURDERER: Eliminate EVERYONE. Don't get shot by the sheriff.

Collect and trade hundreds of knives! 
 
Twitter: @NikilisRBX
YouTube: Nikilis 

Check out my profile for quick links to my pages! 

Like, follow, and subscribe for exclusive update news, free knife codes, and more!",1/18/2014,5/12/2021,0,0,1,1,2021-05-27,2686,1896536.1887565153,1445.7233804914372,119.38086373790023,1565.1042442293374,4382.931496649293,16,523
86,welcome to bloxburg,Town and City,10075380,12,4460572832,3296975,293166,"Build and design your own amazing house, own cool vehicles, hang out with friends, work, roleplay or explore the city of Bloxburg. The possibilities are endless!

Version: 0.9.7
Update Log: https://devforum.roblox.com/t/--/361910",11/4/2014,5/15/2021,1,0,1,1,2021-05-27,2396,1861674.8046744575,1376.0329716193655,122.35642737896494,1498.3893989983305,4205.08347245409,19,229
87,[2x exp] shindo,All Genres,1535711,5,834925466,979480,60486,"056 UPDATE:
https://www.youtube.com/watch?v=IGHjOGo89wc

🔊 Subscribe for codes & updates:
🔷 https://www.youtube.com/c/RELLGAMES?sub_confirmation=1

💾 Version: 
🔷 056.5

🌐 Developers:
🔷 RELLsin @CaribBros
🔷 RELLvex @CaribVros

🕹 Get 2X Daily Rewards/Join for 2XP:
🔷 https://www.roblox.com/groups/1226491/RELL-World#!/about
🔷 https://www.roblox.com/groups/4939446/RELL-GAMES#!/about",1/20/2020,5/23/2021,1,0,1,1,2021-05-27,493,1693560.7829614605,1986.7748478701826,122.6896551724138,2109.4645030425963,3115.032454361055,15,380
88,new update your bizarre adventure,RPG,549771,16,305066873,359352,36276,"✨🏹『NEW UPDATE』 🏹✨
➢ New stand models, auras, skins
➢ New VFX
➢ 2 New Codes in the youtube channel below and more!

Welcome to Your Bizarre Adventure, an RPG-styled game that revolves around obtaining strong and unique spiritual abilities known as ""STANDS"", fighting gangs, and more! Read the help section in-game! JOIN OUR COMMUNITY'S SERVER LINK BELOW FOR CODES, UPDATES, ANNOUNCEMENTS, AND MORE HELP!

Give the game page a thumbs-up like and subscribe to our Youtube below for more codes:
➢ youtube.com/channel/UCwxB9DjiJKOcZbDPIvsCZBg?sub_confirmation=1

Disclaimers:
➢ You will be banned for any form of exploiting and there will be no appeals unless you have high quality video evidence that shows it was you getting falsely banned as it happened. It is highly suggested to use the applications ""Medal"" or ""Shadowplay"" to achieve this for your own safety.

Arrivederci!",2/2/2019,5/23/2021,1,0,1,1,2021-05-27,845,361025.8852071006,425.26863905325445,42.9301775147929,468.19881656804733,650.6165680473373,33,874
89,[update 14] blox fruits,Adventure,1535702,12,1492465388,679701,50707,"🔵🔴 UPDATE 14 OUT NOW! 🔴🔵
Rumble Awakening + Island + Cyborg ++ MORE!

Welcome to Blox Fruits! Become a master swordsman or a powerful blox fruit user as you train to become the strongest player to ever live. You can choose to fight against tough enemies or have powerful boss battles while sailing across the ocean to find hidden secrets. 

Current level cap: 1525
Current fruits in the game:
Bomb, Spike, Chop, Spring, Smoke, Flame, Ice, Sand, Dark, Light, Magma, Rubber, Quake, Human Buddha, Barrier String, Bird Phoenix, Rumble, Paw, Gravity, Dough, Control, and Dragon!
FAQ:
- Fruits spawn in the map every hour / despawn after 20. 
- You can buy fruits from the Blox Fruits Dealer. He restocks random fruits every 4 hours 
- More info in the group description

Do not exploit or auto farm, our auto-detection will catch you and we do not appeal our bans.",1/16/2019,3/22/2021,1,0,1,1,2021-05-27,862,1731398.3619489558,788.5162412993039,58.824825986078885,847.3410672853828,1781.5568445475637,23,859
90,arsenal,FPS,7338789,16,2836363853,2875379,373877,"Race to the top through a massive Arsenal of weapons! 

Conquer the day in fast paced arcade gameplay, from bazookas to spell books, each weapon will keep you guessing on what's next! 

Earn BattleBucks and trick out your game with a huge cast of characters, melees, kill effects, skins and more!

",8/18/2015,5/25/2021,0,0,1,1,2021-05-27,2109,1344885.658131816,1363.385016595543,177.2769084874348,1540.6619250829779,3479.7482219061167,7,298
91,[update!] all star tower defense,All Genres,1069607,60,1279556061,565971,39933,"⚔️Use your units to fend off waves of enemies
⚡Each Unit has Unique Cool Abilities
⬆️Upgrade your Troops During battle to unlock new attacks
⛩️Summon from the Gate and unlock New Units to use them in battles
🌀Team up with your friends to take on story mode or the infinity tower
🕒New things appear in the Summon Gate and Emote Shop every hour
Collect them all!

📝Join the Social Links to Gain Codes/Announcement/Updates
❤️Like the Game for More Codes!

🐦Creators: Benoxa, FruitySama, JokeTheFool
🐤Developers: Tacomura, AStrongMuscle, MoltenPrime, AngeIicMar
🔨Contributions: Markosumisu, SwiftMerkz01, Rinanori, zakblak20, Iumu ",5/7/2020,5/25/2021,0,0,1,1,2021-05-27,385,3323522.2363636363,1470.0545454545454,103.72207792207791,1573.7766233766233,2778.2,32,627
92,[tabi] funky friday,All Genres,1280919,14,268326565,532679,50193,"beat box battle

SHUTDOWN = UPDATE
🎮 Console - D-PAD or XYBA 
Jaudr3y - Epic Map Designer

[CREDIT TO THE ORIGINAL FNF GAME]
ninjamuffin99 - Programmer
PhantomArcade3K & Evilsk8r - Art
Kawaisprite - Musician

https://devforum.roblox.com/t/ff-credits-and-information

(Additional respective mod author credits can be found in-game)",2/26/2021,5/25/2021,0,0,1,1,2021-05-27,90,2981406.277777778,5918.655555555555,557.7,6476.355555555555,14232.433333333332,19,330
93,  meepcity  ,Town and City,12869767,200,10212815070,2238805,306517,"💙💙 The game that is Powering Imagination! Chat, play games, earn coins, and customize your very own estate! Play with millions of players who play MeepCity! 💙💙 

✨ We're working on more updates!

🔔Click the Follow button for update notifications! And join our Roblox group/community!",2/23/2016,12/31/2020,0,0,0,0,2021-05-27,1920,5319174.515625,1166.0442708333333,159.64427083333334,1325.6885416666667,6703.003645833333,12,283
94,royale high,Adventure,11051726,15,5969170002,2108703,291313,"🌼New Update 5/3! Check the in-game update log in new servers (the book with the !) for full details!

Welcome to Royale High, your ever-growing dream world!
✧~♡~✧
♡Use your Teleportation Sceptre to fast-travel across magical lands, with secrets to explore & fun games to play!
♡Games earn you the valuable currency 💎Diamonds, increases your level, & challenges your knowledge and skills!
♡Spend your diamonds in the shop, which sells special items during real-life seasons.
♡Dress your character to suit your mood & personality~ free makeup, hairstyles, & thousands of unique outfits for any occasion!
♡Level up at Royale High School by attending classes! The higher grades you receive, the more rewards you earn!
♡Make sure to bring the right book to class from your locker, and turn in your completed homework!
♡Try to balance your studies and socializing, as many best friends have been made within these halls♡

icon by @ixchoco_!",4/10/2017,5/25/2021,0,0,1,1,2021-05-27,1508,3958335.5450928384,1398.3441644562333,193.17838196286473,1591.522546419098,7328.7307692307695,11,934
95,jailbreak,Town and City,16324346,30,5052094793,4405650,596122,"Coming up next: An epic new robbery!

The latest Jailbreak update:  
🕵️‍♀️ THE AGENT! Now off sale.
👮‍♀️ INTERROGATOR Police SUV!
🔥 PIT MANEUVERS! 
⚽️ New Soccer Ball reward!
🎉 5B Visits Garage Spoiler! TY!! ❤️



🏆 Jailbreak is an award-winning game played over five billion times where you can orchestrate a robbery or stop the criminals before they get away! Team up with friends for even more fun and plan the ultimate raid or heist. What role will you play? 

🖥 Programmed by Badcc. @badccvoid
🎨 Designed by asimo3089.  @asimo3089",1/6/2017,5/22/2021,0,0,1,1,2021-05-27,1602,3153617.224094881,2750.0936329588017,372.1111111111111,3122.2047440699125,10189.978776529339,9,535
96,[2x logia update 3.5] grand piece online,Adventure,309466,1,53743438,173527,9028,"PC ONLY
Long awaited naval adventure experience. 

Work towards your ideal build, discover hidden locations, and challenge difficult bosses while competing with others!

Scavenge the lands for treasure and exotic fruits known to empower their eaters. Hunt the pirates, or side with them. 

Perhaps you'll join a crew, or better yet, make one yourself. 

2x logia rates are AUTOMATICALLY applied every friday-sunday

Miscellaneous controls:
M-Menu
Ctrl-Climb
P-Sit on ship
WW-Sprint",5/6/2018,5/25/2021,1,0,1,1,2021-05-27,1117,48114.08952551477,155.35094001790512,8.082363473589973,163.43330349149508,277.0510295434199,40,481
97,build a boat for treasure,Adventure,4691200,7,1603831006,1474305,122634,"Build your ship and set sail for your adventure!

Liked the game? Don't forget to leave a Thumbs Up(👍) and Favorite(🌟) . Thank you!

Don't forget to check out our group!
https://www.roblox.com/My/Groups.aspx?gid=2782840

Group Perks:
✨Member✨
--- 25% more gold!
💫Mega Member💫
--- 300% more health!
--- 25% more gold!
🌟Royal Member🌟
--- +4 Barrels Of TNT!
--- 300% more health!
--- 25% more gold!",11/2/2016,5/10/2021,0,0,1,1,2021-05-27,1667,962106.1823635272,884.4061187762447,73.56568686262747,957.9718056388722,2814.1571685662866,25,395
98,noob army tycoon,Military,371999,4,50844596,151739,11003,Attack the other noobs in this epic tycoon.,4/4/2021,5/24/2021,0,1,1,1,2021-05-27,53,959332.0,2863.0,207.60377358490567,3070.603773584906,7018.8490566037735,16,43
99,tower of hell,Adventure,7617382,20,11919845022,2217092,677860,"Can you be the first to the top in this randomly generated obby with absolutely no checkpoints at all?



Owners of VIP-Servers can use the settings menu to skip rounds, set the tower size and lock the shop.

Sorry for anyone unable to use Shift-Lock due to Roblox binding chat to Shift+7 on some keyboards. This is a Roblox issue we are unable to fix",6/18/2018,5/24/2021,0,0,1,1,2021-05-27,1074,11098552.162011173,2064.3314711359403,631.1545623836126,2695.486033519553,7092.5344506517695,13,351
100,islands   [mailbox + countdown!],All Genres,2355388,15,1095954703,724818,96593,"Welcome to Islands!

🌲 Build your own island
👩‍🌾 Create huge farms
🐔 Raise animals
💸 Sell items to make money
⚔️ Loot monsters and bosses
👨‍🍳 Cook tasty delicacies
🔥 And more!

Controls:
[E]: Open inventory

👑 Creators:
SnickTrix (https://twitter.com/lukechatton)
spleenhook (https://twitter.com/spleenhook)

🥁Music by https://twitter.com/too_many_fish",4/8/2020,5/25/2021,0,0,0,0,2021-05-27,414,2647233.5821256037,1750.768115942029,233.31642512077295,1984.084541062802,5689.342995169082,32,352
101,tower defense simulator,All Genres,1529569,50,867845476,558123,43562,"In this world, no one can survive alone. Team up with friends to fend off countless waves of zombies, fight bosses, earn coins, level up, and buy new towers! If you're feeling up for a challenge, try taking on harder bosses on harder difficulties!

👥💵 Join the group for +$100 starting cash! https://www.roblox.com/groups/4914494
👍Thumbs up and favorite for more quality updates!🌟

🔨UPDATES🔨
+ 🥶 FROST INVASION EVENT
+ ❄️ FROST SEASON
+ 🔨 SLEDGER TOWER
+ 📦 FROST SKINS
+ 💀 TOXIC GUNNER
+ 💪 TOWER REWORKS
+ 🛠️ BUG FIXES + CHANGES

Read full update log: https://devforum.roblox.com/t/tower-defense-simulator-frost-invasion-update

✨Lead Dev/Design: BelowNatural
📜Scripter: Razuatix
🎹Music Composer: Phoqus
🔊SFX Designer: BiddinUp
🖼️GFX Designer: Jaaziar

🏆 8th Annual Bloxy Award Winner
Google ""TDS Wiki"" for in-depth game info!",6/5/2019,5/25/2021,1,0,1,1,2021-05-27,722,1202002.0443213296,773.0235457063712,60.335180055401665,833.3587257617729,2118.516620498615,23,826
102,season 4  anime fighting simulator,Fighting,2288937,20,980824796,1045139,52838,"Anime Fighting Simulator is a training game inspired by multiple popular Anime shows.

Player Multiplier Limit: 2.25q

👊Latest Update [UPDATE 18]:
- 💸SALE!
- 🌟SEASON 4!
- ⚔️NEW TOURNAMENT MODE!
- 💥3 NEW QUIRKS!
- 🔴1 NEW BLOODLINE!
- 🍋1 NEW FRUIT!
- 👿NEW BOSS!
- 🐰EASTER EVENT!
- 🌌NEW AURA CHEST!
- 🥚EASTER DECORATION!
- 🔥2 NEW POWERS!
- 🛡️5 NEW CHAMPIONS!
- 💪3 NEW TRAINING AREAS!
- ⚔️8 NEW SWORD SKINS!
- 🗡️1 NEW SWORD!
- ⚖️POWER BALANCING!

⭐Join BlockZone for a 5% increased training boost:
https://www.roblox.com/groups/5202664/BlockZone#!/about

🎁Follow us on Twitter for codes and updates on the game:
Director: @NyxunRBX
Head Developers: @RobxSoft, @_Chichine
Scripters: @_DevCrow, @eXo0ne_, @lyzrinn, @Dact_ylioglyph
Builder: @BIack_Smith
Modeler: @Mirror_RBX",10/4/2019,5/22/2021,0,0,0,0,2021-05-27,601,1631988.0133111482,1739.0,87.91680532445923,1826.9168053244593,3808.5474209650583,34,767
103,piggy [book 2] book update!,Horror,9025042,6,8420540561,2372615,249828,"Do you have what it takes to escape Piggy and uncover the mysteries surrounding the beast?

Controls:
Pick up items / Use items - Click (Computer), Tap (Mobile) or Right Trigger (Controller)
Crouch / Place trap - CTRL (Computer), Tap (Mobile) or B (Controller)

Credits:
IK3As - Chapter 3, Chapter 7, Chapter 9, Chapter 11 Builder, Additional Chapter 8 Building, Book 2 Chapter 2 and 5 Building
Optikk - Build Mode
TenuousFlea - 'Billy' Model, 'Kraxicorde' Model
For You to Stay © 2019 Mira K.",1/23/2020,5/22/2021,0,0,1,1,2021-05-27,490,17184776.65510204,4842.071428571428,509.8530612244898,5351.924489795918,18418.45306122449,27,493
104,da hood,Town and City,933578,40,432970209,292397,151500,"A difficult game, read below for tips.
Account has to be at least 10 days to play.

[PC/XBOX Controls][F/ButtonY - Block][E/PadDown - Stomp][G/PadUp - Carry][LCTRL+ButtonB - Crouch]
Crouch+Carry = Ragdoll thrown.
You can weave 100% if you time at the right time when blocking.

To gain muscle buy weights at fitness.
Eat lettuce to reduce muscle.

Cop: To join cops go to the police station, if you execute anyone without cuffs you'll be automatically kicked off. Use cuffs instead.

Criminals: Ransack banks and several others small time shops in order to gain wanted or cash.

Gun saves - however, can be lost by death, or logging when KO, or 0 ammo.

cash drop takes 30%

Game-Commands: ""/e stats""",1/27/2019,5/25/2021,0,0,1,1,2021-05-27,851,508778.15393654525,343.59224441833135,178.0258519388954,521.6180963572267,1097.0364277320798,7,700
105,bee swarm simulator,Adventure,4299590,6,1472765030,1210258,68710,"Grow your own swarm of bees, collect pollen, and make honey in Bee Swarm Simulator! Meet friendly bears, complete their quests and get rewards! As your hive grows larger and larger, you can explore further up the mountain. Use your bees to defeat dangerous bugs and monsters. Look for treasures hidden around the map. Discover new types of bees, all with their own traits and personalities!

Join Bee Swarm Simulator Club for free Honey, Treats and Codes!: https://www.roblox.com/My/Groups.aspx?gid=3982592",3/21/2018,4/21/2021,1,0,1,1,2021-05-27,1163,1266349.9828030954,1040.6345657781599,59.07996560619089,1099.7145313843507,3696.981943250215,19,506
106,[release + huge update] stands awakening [beta],All Genres,41417,15,6539402,17508,3569,"JOIN THE GROUP:
https://www.roblox.com/groups/7944567/Awakened-Productions#!/about

NOTE: THIS IS ONLY THE BASE REVAMP, MORE CONTENT IS BEING ADDED IN THE FUTURE

Welcome to Stands Awakening, the rewritten version of A Bizarre Day Modded 

Stands Awakening functions like A Bizarre Day Modded but with a rewritten and improved upon source code which will help cut down on exploiters and bugs with some small yet good features like cooldown and damage indicators Currently, Stands Awakening is in its Beta stage, and is nowhere near a complete state, new content and Stand reworks will be added as time goes on.

waht the j",10/3/2020,5/19/2021,1,1,1,0,2021-05-27,236,27709.330508474577,74.1864406779661,15.122881355932204,89.30932203389831,175.49576271186442,47,622
107,[demon slayer update!] anime mania,Fighting,260485,50,164478955,119147,9951,"This is Anime Mania. Upon joining the game, it is suggested that you spend some of the gems that you have rolling on a few characters. Then you should equip 3 of these characters in order to make your team. After making your team, you can play the game by starting a room and you can either invite your friends or play alone. Obtain more characters, win the arenas, and upgrade your characters! 

PC Controls:
Left Click: Basic Attack
Right Click: Heavy Attack
1,2,3,4- Character Skills
Jump + Left Click: Up Combo
Left Click In air: Air finish or simply use a move.

Inspired by Ani-Blox Legends, and All Star Tower Defense.

Owners: 123imnotm0mo and Yakrus
Developers: jacobman737, Lazarovip2,F33NY
Contributors: Swingset68, Arricku,Elikage,LightTheProtagonist, Rinanori",1/23/2021,5/21/2021,0,0,1,0,2021-05-27,124,1326443.185483871,960.8629032258065,80.25,1041.1129032258063,2100.685483870968,34,772
108,twilight daycare   [activities!],RPG,307237,20,87296921,56564,8453,"[New balloon toys has been added! ✨ Thank you so much for 50K+ likes and 80M+ visits! 🙌]

⭐ New activities - Learning, Drawing, Swimming, Storytelling & Camping!
🧢 Caretaker Customization!
👍 Favorite and like for future updates!
✅ Join group for ""Supporter"" exclusive name tag - https://www.roblox.com/groups/8098236

New updates are now available from new server! ✨ Experience Points will be earned by both babies and caretakers after completing activities and XP Points will be used for unlocking perks ✔️

Welcome to Twilight Daycare! 🍼 Take up the role as a caretaker 👨👩 to take care of babies or become a baby 👶 in the daycare to enjoy the love and fun. 💕 More roles, toys, activities are coming in future! ✨

Thank you very much, KonekoKitten 🙌

[Twilight Daycare 🍼 is now in beta and development progress is going well. 🙏 Stay tuned for more updates! ✨]

Tags:
daycare, baby, infant, toddler, kid, child, children, caretaker, family, roleplay",3/12/2021,5/25/2021,0,0,0,0,2021-05-27,76,1148643.6973684211,744.2631578947369,111.22368421052632,855.4868421052632,4042.592105263158,32,949
109,phantom forces,FPS,4626172,32,1085050358,1817896,142204,"Thank you for supporting us for over five years to help reach 1B+ visits!

[Update 5.5.1]
Map pool returned to normal non-holiday themed states
Added helmets for player models (no influence on bullet hitboxes)
New skins added to Creator Case and Meme 2 Case
Crane Site Revamp re-added to regular map pool

Thank you for continuing support for PF for over 5 years!",8/31/2015,5/25/2021,0,0,1,1,2021-05-27,2096,517676.697519084,867.3167938931298,67.84541984732824,935.162213740458,2207.1431297709923,14,363
110,counter blox,FPS,2319667,14,811169708,674798,130748,"Take part in a 5v5 team based fire fight across a variety of maps spanning across the globe.

Earn in-match money by eliminating enemies and playing objectives, which you can use to buy new weapons, gear and grenades at the start of each round.

Press B to open buy menu at spawn, press N to open menu.

Enjoy FPS games? We've made four other FPS games you can play!
Check them out: https://www.roblox.com/My/Groups.aspx?gid=2613928

If you see [LIVE] in the title, we're streaming on the Twitch Channel below!
",9/27/2015,5/25/2021,0,0,1,0,2021-05-27,2069,392058.82455292414,326.14693088448524,63.193813436442724,389.34074432092797,1121.153697438376,12,511
111,[ bleach ] anime battle arena,Fighting,501175,12,217474378,200066,32636,"Check the second page of the roster to see JoJo characters.
 
Controls:
Shift: Sprint
Q: Dodge
F: Block
Basic Attack: Mouse1
Space+Mouse1: Aerial Attack
Combine Basic Attacks and Aerial Attacks to discover new combos.
Use 1,2,3,4 for your character special moves.
Transformation: G

Developers:  Melon_Sensei, Chicken_Man, Snakeworl
Contributors: BIGPAPAMAUI, Sprano, K1LLUA, Nilvaat, jjjakey, Kogrin, rikaid, Estheking",2/25/2018,5/21/2021,1,0,1,1,2021-05-27,1187,183213.4608256108,168.54759898904803,27.49452401010952,196.04212299915756,422.21988205560234,29,419
