,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description,Date Created,Date Updated,new_text
42,gacha online| custom oc rp (roleplay),All Genres,973984,35,327789479,165374,71288,"➡️ Gacha Online's content is 100% free, supported by your donations and premium playtime! ⬅️

( Game Version 1.498 - 5/9/21 - Minor update (NEW CONTENT COMING SOON!))

~~~~~~~ Welcome to Gacha Online BETA! ~~~~~~~ (*・ω・)ﾉ
Customize your Gacha OCs in Roblox, just like Gacha Life -- ⭐BUT MULTIPLAYER!⭐

Have fun Roleplaying, Exploring, and just hanging out with new friends!
-- Make Gacha Mini Movies live and with your friends!
-- Customize your characters right next to your buddies!
-- COMPLETELY FREE CUSTOMIZATION!

-- Made with ❤️ by Snowdust --

Remember to like   the game, and tell your friends about it!

This is an official fangame of the Gacha Club and Gacha Life series made by Lunime.
You can find them on the app store!


Map Credits:
Middle Park & Cat Cafe: Game ""Sweet Dance""
School Plaza, Gym, Nurse, Pool & Office: ""Maddoktor2""",7/5/2020,5/27/2021,"gacha online| custom oc rp (roleplay)➡️ Gacha Online's content is 100% free, supported by your donations and premium playtime! ⬅️

( Game Version 1.498 - 5/9/21 - Minor update (NEW CONTENT COMING SOON!))

~~~~~~~ Welcome to Gacha Online BETA! ~~~~~~~ (*・ω・)ﾉ
Customize your Gacha OCs in Roblox, just like Gacha Life -- ⭐BUT MULTIPLAYER!⭐

Have fun Roleplaying, Exploring, and just hanging out with new friends!
-- Make Gacha Mini Movies live and with your friends!
-- Customize your characters right next to your buddies!
-- COMPLETELY FREE CUSTOMIZATION!

-- Made with ❤️ by Snowdust --

Remember to like   the game, and tell your friends about it!

This is an official fangame of the Gacha Club and Gacha Life series made by Lunime.
You can find them on the app store!


Map Credits:
Middle Park & Cat Cafe: Game ""Sweet Dance""
School Plaza, Gym, Nurse, Pool & Office: ""Maddoktor2"""
43,mall tycoon,All Genres,566545,6,118172184,180468,13210,"Lagging? Make a FREE VIP server

Create your own personalized Mall, with over 35 stores to choose from. Hey, look at that… some people are starting to visit your mall!

 ‍♂‍ ‍♀‍ 

Build the correct types of stores to keep your customers happy. These customers are not easy to please but if you manage to do so you will be rewarded with large TIPS! Wow, more customers are coming to your mall…

 ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍ 

Paint your walls and decorate your mall so it is unique. Unlock a variety of awesome set pieces at the end of every floor. Now your mall is getting really busy…

 ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍

Create all 12 floors then stand on the roof and look out into the distance. You are a champion; you have conquered the Roblox Mall. Everything the light touches is your kingdom (except all the other malls, the road, and generally anything not within the area of your Mall). ",9/25/2020,5/14/2021,"mall tycoonLagging? Make a FREE VIP server

Create your own personalized Mall, with over 35 stores to choose from. Hey, look at that… some people are starting to visit your mall!

 ‍♂‍ ‍♀‍ 

Build the correct types of stores to keep your customers happy. These customers are not easy to please but if you manage to do so you will be rewarded with large TIPS! Wow, more customers are coming to your mall…

 ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍ 

Paint your walls and decorate your mall so it is unique. Unlock a variety of awesome set pieces at the end of every floor. Now your mall is getting really busy…

 ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍  ‍♂‍ ‍♀‍

Create all 12 floors then stand on the roof and look out into the distance. You are a champion; you have conquered the Roblox Mall. Everything the light touches is your kingdom (except all the other malls, the road, and generally anything not within the area of your Mall). "
44,dragon ball z final stand,Fighting,1404649,26,387993182,462004,53212,"Thanks for playing, but this game isn't being actively developed anymore, so don't expect any updates or fixes.

CONTROLS BELOW PLEASE READ

Left Click = Punch 
Right Click = Guard Break
X = Charge (hold longer for better)
F = Block
Q = Dodge
Z = Sense Ki/Scouter
M = Menu
Double tap W while flying to go faster
Hold Space = Fly
Hold Ctrl = Descend

Scripter: SnakeWorl
Builder: AfroDs
Spanish Translation: Jeffreyubi",11/1/2016,1/24/2021,"dragon ball z final standThanks for playing, but this game isn't being actively developed anymore, so don't expect any updates or fixes.

CONTROLS BELOW PLEASE READ

Left Click = Punch 
Right Click = Guard Break
X = Charge (hold longer for better)
F = Block
Q = Dodge
Z = Sense Ki/Scouter
M = Menu
Double tap W while flying to go faster
Hold Space = Fly
Hold Ctrl = Descend

Scripter: SnakeWorl
Builder: AfroDs
Spanish Translation: Jeffreyubi"
45,tower defense simulator,All Genres,1536532,50,874165106,562085,43759,"In this world, no one can survive alone. Team up with friends to fend off countless waves of zombies, fight bosses, earn coins, level up, and buy new towers! If you're feeling up for a challenge, try taking on harder bosses on harder difficulties!

  Join the group for +$100 starting cash! https://www.roblox.com/groups/4914494
 Thumbs up and favorite for more quality updates! 

 UPDATES 
+ 🥶 FROST INVASION EVENT
+ ❄️ FROST SEASON
+   SLEDGER TOWER
+   FROST SKINS
+   TOXIC GUNNER
+   TOWER REWORKS
+  ️ BUG FIXES + CHANGES

Read full update log: https://devforum.roblox.com/t/tower-defense-simulator-frost-invasion-update

✨Lead Dev/Design: BelowNatural
 Scripter: Razuatix
 Music Composer: Phoqus
 SFX Designer: BiddinUp
 ️GFX Designer: Jaaziar

  8th Annual Bloxy Award Winner
Google ""TDS Wiki"" for in-depth game info!",6/5/2019,5/26/2021,"tower defense simulatorIn this world, no one can survive alone. Team up with friends to fend off countless waves of zombies, fight bosses, earn coins, level up, and buy new towers! If you're feeling up for a challenge, try taking on harder bosses on harder difficulties!

  Join the group for +$100 starting cash! https://www.roblox.com/groups/4914494
 Thumbs up and favorite for more quality updates! 

 UPDATES 
+ 🥶 FROST INVASION EVENT
+ ❄️ FROST SEASON
+   SLEDGER TOWER
+   FROST SKINS
+   TOXIC GUNNER
+   TOWER REWORKS
+  ️ BUG FIXES + CHANGES

Read full update log: https://devforum.roblox.com/t/tower-defense-simulator-frost-invasion-update

✨Lead Dev/Design: BelowNatural
 Scripter: Razuatix
 Music Composer: Phoqus
 SFX Designer: BiddinUp
 ️GFX Designer: Jaaziar

  8th Annual Bloxy Award Winner
Google ""TDS Wiki"" for in-depth game info!"
46,[ice parts!] obby creator,All Genres,379221,16,89615122,74856,24064,"Welcome to Obby Creator, where you can build whatever you'd like and share it with the rest of the platform. Create your obby using in-game building tools or load and play anyone else's using their unique ObbyId!

When using Team Create, don't agree to let anyone join you unless you trust them or they may delete your whole obby. 

Credits: https://devforum.roblox.com/t/obby-creator-credits/318701
Full Update Logs: https://devforum.roblox.com/t/-/372543
Basic tutorial video: https://youtu.be/VjqNOspTssw

Previous Updates:
🧊 Added new Slipperiness property - make slippy ice parts!
⛰️ 2 new Skyboxes for Advanced Tools users.
  Lots of bug fixes!
+ Other small changes!

If the game shuts down it's because I've either updated the game or fixed an important bug! :D Game updates every two weeks.",3/2/2019,5/26/2021,"[ice parts!] obby creatorWelcome to Obby Creator, where you can build whatever you'd like and share it with the rest of the platform. Create your obby using in-game building tools or load and play anyone else's using their unique ObbyId!

When using Team Create, don't agree to let anyone join you unless you trust them or they may delete your whole obby. 

Credits: https://devforum.roblox.com/t/obby-creator-credits/318701
Full Update Logs: https://devforum.roblox.com/t/-/372543
Basic tutorial video: https://youtu.be/VjqNOspTssw

Previous Updates:
🧊 Added new Slipperiness property - make slippy ice parts!
⛰️ 2 new Skyboxes for Advanced Tools users.
  Lots of bug fixes!
+ Other small changes!

If the game shuts down it's because I've either updated the game or fixed an important bug! :D Game updates every two weeks."
47,tropical resort tycoon  ,Building,899500,8,211995609,266285,14418,"UPDATE OUT NOW:
  2 new vehicles (both buyable with currency!)
  Bug fixes and improvements
❓ Next update teaser!

The next update will be larger, more info soon!  

Build your Tropical Resort and complete your island! Drive epic vehicles, roleplay with friends, explore, and so much more!  

  Tycoons autosave   

  Hit the FOLLOW button to get notified about updates!  

Brought to you by the team at Ready, set, play!

filiptibell - Scripting & UI
pollopollop - Game Design & Modeling
michaelvanderfin - World Design & Modeling

  Join our group for 10,000 in-game currency!  
https://www.roblox.com/groups/7371243",8/10/2020,5/21/2021,"tropical resort tycoon  UPDATE OUT NOW:
  2 new vehicles (both buyable with currency!)
  Bug fixes and improvements
❓ Next update teaser!

The next update will be larger, more info soon!  

Build your Tropical Resort and complete your island! Drive epic vehicles, roleplay with friends, explore, and so much more!  

  Tycoons autosave   

  Hit the FOLLOW button to get notified about updates!  

Brought to you by the team at Ready, set, play!

filiptibell - Scripting & UI
pollopollop - Game Design & Modeling
michaelvanderfin - World Design & Modeling

  Join our group for 10,000 in-game currency!  
https://www.roblox.com/groups/7371243"
48,  outlaster,Adventure,336764,50,59715894,85761,14264,"Compete against other players in a battle for power and safety from elimination! Form alliances and find advantages to further yourself in the game and eliminate any threats standing in your way. Can you become the ultimate outlaster?

  Make sure to give the game a thumbs up if you like it!

Follow the developers on Twitter to stay updated with news, codes, and sneak peeks!
@Repotted_
@GodzGalaxy_

Credits: https://devforum.roblox.com/t/outlaster-credits/811849",7/13/2020,4/30/2021,"  outlasterCompete against other players in a battle for power and safety from elimination! Form alliances and find advantages to further yourself in the game and eliminate any threats standing in your way. Can you become the ultimate outlaster?

  Make sure to give the game a thumbs up if you like it!

Follow the developers on Twitter to stay updated with news, codes, and sneak peeks!
@Repotted_
@GodzGalaxy_

Credits: https://devforum.roblox.com/t/outlaster-credits/811849"
49,southwest florida beta,Town and City,362238,50,57138770,101663,14174,"⚠️ All forms of exploiting, including exploiting your car, will result in a PERMENANT ban. Bear this in mind! ⚠️

Welcome to Southwest Florida! Based around the Bonita Springs area, Southwest Florida is a roleplay game that offers a variety of jobs, vehicles, and more! 

⚠️ This game is not complete and some features are missing.

⚠️ This is a large game and lower end PCs, laptops, phones, and tablets may experience performance issues.

Controls
- ""V"" to toggle walk/jog, hold ""Shift"" to run
- Semi & Auto: ""E"" to upshift, ""Q"" to downshift (""X"" and ""Y"" on Xbox)
- Manual: Use the ""Shift"" key (""RB"" on Xbox) to control clutch while shifting
- Hold left-CTRL while accelerating to wheelie on a bike
- Cops & criminals have to enable PvP (bottom right) in order to do damage
",5/28/2020,5/23/2021,"southwest florida beta⚠️ All forms of exploiting, including exploiting your car, will result in a PERMENANT ban. Bear this in mind! ⚠️

Welcome to Southwest Florida! Based around the Bonita Springs area, Southwest Florida is a roleplay game that offers a variety of jobs, vehicles, and more! 

⚠️ This game is not complete and some features are missing.

⚠️ This is a large game and lower end PCs, laptops, phones, and tablets may experience performance issues.

Controls
- ""V"" to toggle walk/jog, hold ""Shift"" to run
- Semi & Auto: ""E"" to upshift, ""Q"" to downshift (""X"" and ""Y"" on Xbox)
- Manual: Use the ""Shift"" key (""RB"" on Xbox) to control clutch while shifting
- Hold left-CTRL while accelerating to wheelie on a bike
- Cops & criminals have to enable PvP (bottom right) in order to do damage
"
50,rocitizens [cafe],Town and City,3400509,20,709008723,999537,124552,"+ New location: Cafe
+ Crime and Police system overhaul
+ Destructible environments
+ Performance improvements

Work at jobs, complete quests for the townspeople, customize and furnish a home, cruise about the town, or socialize with other citizens in a constantly growing world!",12/6/2013,5/15/2021,"rocitizens [cafe]+ New location: Cafe
+ Crime and Police system overhaul
+ Destructible environments
+ Performance improvements

Work at jobs, complete quests for the townspeople, customize and furnish a home, cruise about the town, or socialize with other citizens in a constantly growing world!"
51,  weight lifting simulator,Fighting,24474,25,9442929,23862,1630,"  Use the code '20klifters' and LIKE the game for a free boost!
  NEW CODE releases once the game gets 30,000 LIKES!

  Unleash your strength and become the strongest lifter of all time! Train your body, lift weights, unlock new Worlds, fight other players, collect epic pets and brawl every few minutes to become the champion!

  Join our group to unlock exclusive rewards in-game!
https://www.roblox.com/groups/10692800/Group-Items

 ⚡LATEST UPDATE:
- NEW Aura System! Power up as you're lifting weights!
- Pet XP and leveling up now available in the game!
- NEW Rebirth system and Rewards
- STOMP IS BACK!
- DESERT GYM: 75 REBIRTHS & 100 STRENGTH!
- NEW SPEED CITY with HUGE SPEED GAIN! (X2)

  Support the game by giving us a LIKE and a FAVORITE! 
  Make sure to hit the FOLLOW button to get notified about new updates!",5/9/2021,5/27/2021,"  weight lifting simulator  Use the code '20klifters' and LIKE the game for a free boost!
  NEW CODE releases once the game gets 30,000 LIKES!

  Unleash your strength and become the strongest lifter of all time! Train your body, lift weights, unlock new Worlds, fight other players, collect epic pets and brawl every few minutes to become the champion!

  Join our group to unlock exclusive rewards in-game!
https://www.roblox.com/groups/10692800/Group-Items

 ⚡LATEST UPDATE:
- NEW Aura System! Power up as you're lifting weights!
- Pet XP and leveling up now available in the game!
- NEW Rebirth system and Rewards
- STOMP IS BACK!
- DESERT GYM: 75 REBIRTHS & 100 STRENGTH!
- NEW SPEED CITY with HUGE SPEED GAIN! (X2)

  Support the game by giving us a LIKE and a FAVORITE! 
  Make sure to hit the FOLLOW button to get notified about new updates!"
52,clone tycoon 2,Sci-Fi,2994421,5,497855665,795925,77332,"In Clone Tycoon 2, you can clone yourself and create an army! Upgrade your futuristic base, grow your clones, and build a research lab to become king of the cloning universe. Unlock stronger weapons, planes, rockets and many more exciting items.

Latest Update: 
-Invisible Cape Fix
-Clone Spawning Fix
-Rainbow Magic Carpet Fix

Credits / Music: https://devforum.roblox.com/t/t/459787",5/12/2016,5/19/2021,"clone tycoon 2In Clone Tycoon 2, you can clone yourself and create an army! Upgrade your futuristic base, grow your clones, and build a research lab to become king of the cloning universe. Unlock stronger weapons, planes, rockets and many more exciting items.

Latest Update: 
-Invisible Cape Fix
-Clone Spawning Fix
-Rainbow Magic Carpet Fix

Credits / Music: https://devforum.roblox.com/t/t/459787"
53,super hero tycoon,Fighting,41074,10,23189868,8762,2209,"  Hit The Like To Unlock Free Exclusive Gears! Make sure to Like The Game!
  ⭐ Support the game by giving us a LIKE and a FAVORITE!

Welcome To Super Hero Tycoon, Choose Your Character and Build Your Tycoon.

If you like the game, press the thumb up button!

Do not forget to like the game and add it to favorites, it means a lot if you do!

Join the The Tycoon Games to unlock exclusive cash and items in-game!
https://www.roblox.com/groups/6543268/The-Tycoon-Games",7/8/2020,3/29/2021,"super hero tycoon  Hit The Like To Unlock Free Exclusive Gears! Make sure to Like The Game!
  ⭐ Support the game by giving us a LIKE and a FAVORITE!

Welcome To Super Hero Tycoon, Choose Your Character and Build Your Tycoon.

If you like the game, press the thumb up button!

Do not forget to like the game and add it to favorites, it means a lot if you do!

Join the The Tycoon Games to unlock exclusive cash and items in-game!
https://www.roblox.com/groups/6543268/The-Tycoon-Games"
54,[updated peace treaties] rise of nations,Military,200256,50,39292915,74847,11716,"Grand Strategy game focused on world domination

Biomes have been added. Take advantage of your new conditions. Events have also been added. Make careful choices that can change your country in this new major update!

Military leaders that can help turn the tide of a war, and more in this new update

Massive Technology Overhaul update, as well as numerous other changes.

You can now either unlock or purchase skins in the skins menu in game

Hold left shift to ignore units
Right click and drag to move
Mouse wheel or F/R to Zoom
Drag via left click to select multiple units

READ THE HELP
",11/14/2018,5/18/2021,"[updated peace treaties] rise of nationsGrand Strategy game focused on world domination

Biomes have been added. Take advantage of your new conditions. Events have also been added. Make careful choices that can change your country in this new major update!

Military leaders that can help turn the tide of a war, and more in this new update

Massive Technology Overhaul update, as well as numerous other changes.

You can now either unlock or purchase skins in the skins menu in game

Hold left shift to ignore units
Right click and drag to move
Mouse wheel or F/R to Zoom
Drag via left click to select multiple units

READ THE HELP
"
55,rainbow fun obby!,Adventure,4632,37,5220202,3168,711,"Hello and welcome to Rainbow Fun Obby! You must find a way to escape Rainbow Fun Obby! You find a obstacle course that can help you escape! You must CLIMB to the top of Rainbow Fun Obby, Parkour!

Rainbow Fun Obby!
--
Don't forget to Like and Favorite",4/14/2021,5/27/2021,"rainbow fun obby!Hello and welcome to Rainbow Fun Obby! You must find a way to escape Rainbow Fun Obby! You find a obstacle course that can help you escape! You must CLIMB to the top of Rainbow Fun Obby, Parkour!

Rainbow Fun Obby!
--
Don't forget to Like and Favorite"
56,update #4 livetopia,Town and City,171895,25,19484895,29244,3065,"___/  What's New  \___
  Say Hi to the HUGE Update ⑤!
  Long list of new items! Van, Tent, Grill, Mirror... try them out!
  More interactions with pets! Feeding and riding!
 ️ Park is up. Find it and go camping!
  Please find more details from the Patch Notes below.
_____________
✔️ Roleplaying! Choose your own roles, outfits, and careers!
  Own different houses and cars!
  Fly in the air! Heli and Hot-air Balloons!
  Play with unique pets! Aren't they cute??!!??
🧐 Find secrets in the place! Or maybe just chill...

Sneak Peek: https://devforum.roblox.com/t/livetopia-weekly-sneak-peek (updated 5/21)
Patch Notes: https://devforum.roblox.com/t/livetopia-patch-notes (updated 5/27)

Thumbs-up   and Favorite ⭐ if you enjoy the game and Follow   us to get timely updates! 
___/  Lovetopia  \___
  20k likes to unlock Hot Dog Suit  ! (Unlocked)
  35k likes to unlock Frying Pan  !
  50k likes to unlock Golf Stick  ️!
  70k likes to unlock Mini Bus  !",4/28/2021,5/27/2021,"update #4 livetopia___/  What's New  \___
  Say Hi to the HUGE Update ⑤!
  Long list of new items! Van, Tent, Grill, Mirror... try them out!
  More interactions with pets! Feeding and riding!
 ️ Park is up. Find it and go camping!
  Please find more details from the Patch Notes below.
_____________
✔️ Roleplaying! Choose your own roles, outfits, and careers!
  Own different houses and cars!
  Fly in the air! Heli and Hot-air Balloons!
  Play with unique pets! Aren't they cute??!!??
🧐 Find secrets in the place! Or maybe just chill...

Sneak Peek: https://devforum.roblox.com/t/livetopia-weekly-sneak-peek (updated 5/21)
Patch Notes: https://devforum.roblox.com/t/livetopia-patch-notes (updated 5/27)

Thumbs-up   and Favorite ⭐ if you enjoy the game and Follow   us to get timely updates! 
___/  Lovetopia  \___
  20k likes to unlock Hot Dog Suit  ! (Unlocked)
  35k likes to unlock Frying Pan  !
  50k likes to unlock Golf Stick  ️!
  70k likes to unlock Mini Bus  !"
57,ragdoll sim  [ragdoll walk!],Comedy,336996,25,67662630,88052,25337,"  A realistic ragdoll physics simulation engine! + VR Support (Virtual Reality)
Ragdoll Simulator!
  NEW UPDATE: WALK WHILE RAGDOLLED, SKYDIVING IS NOW IN!, NEW RAGDOLL MECHANICS!, ANTI-GRAVITY
VIRTUAL REALITY / VR IS FIXED!

Anti-Gravity Controls:
  PRESS 'R' ON DESKTOP
  PRESS 'B' ON XBOX

Safe Mode: Just tap on the shield on the left

  Instructions for PC users:
Press 'F' to ragdoll your character
Press 'T' for first person
Press 'R' for Anti-Gravity

  Instructions for XBOX:
Press Button 'X' to ragdoll your character
Press Button 'Y' for first person
Press Button 'B' for Anti-Gravity

  To move in VR:
Use your right joy stick and right hand to aim where you want to go

❗❗ MORE EXCITING UPDATES COMING SOON ❗❗",4/27/2020,5/27/2021,"ragdoll sim  [ragdoll walk!]  A realistic ragdoll physics simulation engine! + VR Support (Virtual Reality)
Ragdoll Simulator!
  NEW UPDATE: WALK WHILE RAGDOLLED, SKYDIVING IS NOW IN!, NEW RAGDOLL MECHANICS!, ANTI-GRAVITY
VIRTUAL REALITY / VR IS FIXED!

Anti-Gravity Controls:
  PRESS 'R' ON DESKTOP
  PRESS 'B' ON XBOX

Safe Mode: Just tap on the shield on the left

  Instructions for PC users:
Press 'F' to ragdoll your character
Press 'T' for first person
Press 'R' for Anti-Gravity

  Instructions for XBOX:
Press Button 'X' to ragdoll your character
Press Button 'Y' for first person
Press Button 'B' for Anti-Gravity

  To move in VR:
Use your right joy stick and right hand to aim where you want to go

❗❗ MORE EXCITING UPDATES COMING SOON ❗❗"
58,mega easy parkour,Fighting,7847,26,8675056,8824,2089,"Explore, roleplay, and live life as an Animal! Adopt your own pet animal as a parent or get adopted!  

RIDE - AS A BABY   click a parent twice to ride and AS A PARENT  ‍  click a baby twice to ride",5/9/2021,5/24/2021,"mega easy parkourExplore, roleplay, and live life as an Animal! Adopt your own pet animal as a parent or get adopted!  

RIDE - AS A BABY   click a parent twice to ride and AS A PARENT  ‍  click a baby twice to ride"
59,[  school!] roville,Town and City,858457,20,85701788,150817,24650,"⭐Get a free private server to play with your friends!⭐

RoVille is an open-world multiplayer life simulation game where players can work one of many jobs, build their dream home and socialize with other players!

 Explore this large world while driving fully customizable cars which can be purchased in-game!

 Build an amazing house and sell it to other players on the marketplace!

  Build a booming business and make millions while managing your empire!

 Browse the vast user-generated property marketplace, find a house that fits your style and customize it to your liking! 

  Invest your cash in the bank!

  Updates & More Info: https://devforum.roblox.com/t/roville-introduction-and-beta-info/354879

Feel free to follow the Swootch builder on twitter (@Swoootch)

Contact Enqrypted (@EnqryptedDev) for issues, bugs or suggestions",11/5/2018,5/27/2021,"[  school!] roville⭐Get a free private server to play with your friends!⭐

RoVille is an open-world multiplayer life simulation game where players can work one of many jobs, build their dream home and socialize with other players!

 Explore this large world while driving fully customizable cars which can be purchased in-game!

 Build an amazing house and sell it to other players on the marketplace!

  Build a booming business and make millions while managing your empire!

 Browse the vast user-generated property marketplace, find a house that fits your style and customize it to your liking! 

  Invest your cash in the bank!

  Updates & More Info: https://devforum.roblox.com/t/roville-introduction-and-beta-info/354879

Feel free to follow the Swootch builder on twitter (@Swoootch)

Contact Enqrypted (@EnqryptedDev) for issues, bugs or suggestions"
60,[dogs!] welcome to farmtown! [beta],Building,271518,16,29803136,83437,10480,"  Chat with EVERYONE using Roblox's first ever GLOBAL CHAT!  
  Make friends and farm together!  
  Raise cute animals like dogs, chickens, and cows! ✨
⛏️ Delve deep into the earth and drag up precious metals!  
  Cook food for yourself and your friends!
  Drive around town!  
  Visit the fairgrounds!  
  Make tons of money!  
🧭 Explore outside the town and you might even find fossils! 🦖 

✨Proudly made in the USA.

Keywords: farming, farm, open world, roleplay, animals, crops, corn subsidies, potato, business, tycoon, woof, building, decorating, interior design, farting, cute animals, raise animals, throw a party, mining, furniture, friends, no affiliation with stardew valley",4/29/2019,5/27/2021,"[dogs!] welcome to farmtown! [beta]  Chat with EVERYONE using Roblox's first ever GLOBAL CHAT!  
  Make friends and farm together!  
  Raise cute animals like dogs, chickens, and cows! ✨
⛏️ Delve deep into the earth and drag up precious metals!  
  Cook food for yourself and your friends!
  Drive around town!  
  Visit the fairgrounds!  
  Make tons of money!  
🧭 Explore outside the town and you might even find fossils! 🦖 

✨Proudly made in the USA.

Keywords: farming, farm, open world, roleplay, animals, crops, corn subsidies, potato, business, tycoon, woof, building, decorating, interior design, farting, cute animals, raise animals, throw a party, mining, furniture, friends, no affiliation with stardew valley"
61,noob army tycoon,Military,399624,4,56452913,162068,11874,Attack the other noobs in this epic tycoon.,4/4/2021,5/27/2021,noob army tycoonAttack the other noobs in this epic tycoon.
62,sled simulator [update 2!],All Genres,58783,10,6254480,18176,3516,"  Latest code: ""MollysBowl"" - NEW BASE!
  NEW CODE AT 20K LIKES  

Welcome to Sled Simulator! Go zooming down the mountain at intense speed and see how far you can go for money! Then, upgrade your ride to go even further at even higher speeds!  ️

  UPDATE 2 CHANGELOG!

  5 NEW BASES!
✨ 3 NEW Cosmetics
 ️ NEW Lobby theme
  REWARD added for Reach the Goal badge
  FIXED Booster Scaling
 ️ FIXED Respawning flinging

  Follow us on Twitter @studio_sour for new codes and updates!
  Join our group and become part of the community!",1/21/2021,5/26/2021,"sled simulator [update 2!]  Latest code: ""MollysBowl"" - NEW BASE!
  NEW CODE AT 20K LIKES  

Welcome to Sled Simulator! Go zooming down the mountain at intense speed and see how far you can go for money! Then, upgrade your ride to go even further at even higher speeds!  ️

  UPDATE 2 CHANGELOG!

  5 NEW BASES!
✨ 3 NEW Cosmetics
 ️ NEW Lobby theme
  REWARD added for Reach the Goal badge
  FIXED Booster Scaling
 ️ FIXED Respawning flinging

  Follow us on Twitter @studio_sour for new codes and updates!
  Join our group and become part of the community!"
63,cart ride into toilet!,Adventure,7967,17,6521066,11997,2755,Enjoy this cart ride adventure into the toilet! Can you make it through the restroom?,5/14/2021,5/28/2021,cart ride into toilet!Enjoy this cart ride adventure into the toilet! Can you make it through the restroom?
64,[grand opening] slayer tycoon,All Genres,74521,12,8098001,20484,5231,"Watch out for bugs, this game is still new so there is plenty of them
--------
[ ! ] This game only contains content from the anime, movie, and my own original creations. I haven't read the manga yet. [ ! ]
---------
Q - Roll (Button Y on Xbox)
E, R, T, Y, etc. - Katana/Art abilities (DPad on Xbox)
---------
Update logs are posted in the CJS discoard
---------
This game is not designed to save. Do not expect saving.
---------
Slayer Tycoon is a 2 player combat-based game inspired by the anime series Demon Slayer : Kimetsu no Yaiba
---------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map builder",3/8/2021,5/25/2021,"[grand opening] slayer tycoonWatch out for bugs, this game is still new so there is plenty of them
--------
[ ! ] This game only contains content from the anime, movie, and my own original creations. I haven't read the manga yet. [ ! ]
---------
Q - Roll (Button Y on Xbox)
E, R, T, Y, etc. - Katana/Art abilities (DPad on Xbox)
---------
Update logs are posted in the CJS discoard
---------
This game is not designed to save. Do not expect saving.
---------
Slayer Tycoon is a 2 player combat-based game inspired by the anime series Demon Slayer : Kimetsu no Yaiba
---------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map builder"
65,war simulator,Military,604106,22,80736404,186453,22530,"New Metaverse Event!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Welcome to War Simulator! Fight in many different historical wars throughout time, and become the mightiest soldier of all time!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
At least 10% of all the games revenue goes towards charity!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Support development and give us suggestions for updates by joining Simple Games!
https://www.roblox.com/groups/7312028/Simple-Games-Incorporated#!/about
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Please leave a   Thumbs Up & ⭐️ Favorite if you enjoyed the game! And follow the devs at 
https://twitter.com/UndoneBuilder
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙",5/20/2020,5/14/2021,"war simulatorNew Metaverse Event!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Welcome to War Simulator! Fight in many different historical wars throughout time, and become the mightiest soldier of all time!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
At least 10% of all the games revenue goes towards charity!
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Support development and give us suggestions for updates by joining Simple Games!
https://www.roblox.com/groups/7312028/Simple-Games-Incorporated#!/about
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙
Please leave a   Thumbs Up & ⭐️ Favorite if you enjoyed the game! And follow the devs at 
https://twitter.com/UndoneBuilder
◙▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬◙"
